seg,lon,lat
410910,-107.749999,48.500001
410911,-108.141664,48.500001
410912,-108.55,48.500001
410913,-108.949999,48.500001
410914,-109.341664,48.500001
410915,-109.733328,48.500001
410916,-110.124999,48.500001
410917,-110.516669,48.500001
410918,-110.908334,48.500001
410919,-111.291665,48.500001
410920,-111.683329,48.500001
410921,-112.074999,48.500001
411001,-104.249239,48.75137
411002,-104.649949,48.751393
411003,-105.041602,48.751537
411004,-105.433332,48.751568
411005,-105.825031,48.751527
411006,-106.216685,48.751527
411007,-106.608334,48.751527
411008,-107.00005,48.75046
411009,-107.400039,48.749388
411010,-107.791641,48.749388
411011,-108.183308,48.749393
411012,-108.566648,48.749393
411013,-108.949987,48.749393
411014,-109.341669,48.74908
411015,-109.733348,48.748766
411016,-110.12502,48.748766
411017,-110.516719,48.748762
411018,-110.908432,48.748759
411019,-111.300126,48.74876
411020,-111.700142,48.748759
411021,-112.100164,48.748754
411022,-112.500186,48.74875
411101,-104.246589,48.999292
411102,-104.646602,48.998663
411103,-105.041665,49.000001
411104,-105.433329,48.999511
411105,-105.824999,48.999511
411106,-106.21667,49.000001
411107,-106.616669,49.000001
411108,-107.008334,49.000001
411109,-107.399999,49.000001
411110,-107.791564,49.000001
411111,-108.183229,49.000001
411112,-108.591664,49.000001
411113,-108.991663,49.000001
411114,-109.383329,48.999511
411115,-109.783329,48.999511
411116,-110.174999,49.000001
411117,-110.566669,49.000001
411118,-110.96667,49.000001
411119,-111.358334,49.000001
411120,-111.741663,49.000001
411121,-112.133329,49.000001
411122,-112.533329,49.000001
411123,-112.924999,49.000001
411124,-113.316669,49.000001
420101,-104.233334,45.500001
420102,-104.599999,45.500001
420103,-104.966664,45.500001
420104,-105.341664,45.500001
420105,-107.183334,45.500001
420106,-107.549999,45.500001
420201,-104.233334,46.000001
420202,-104.608334,46.000001
420203,-104.983334,46.000001
420204,-105.358334,46.000001
420205,-106.691664,46.000001
420206,-107.066664,46.000001
420207,-107.433334,46.000001
420208,-107.808334,46.000001
420209,-109.016664,46.000001
420210,-109.391664,46.000001
420211,-109.774999,46.000001
420301,-104.241663,46.500001
