"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
33,24,49,62,78,39,48,34,23,22,41,47,41,22,44,93,33,28,41,53
35,12,21,23,30,19,3,9,6,4,14,22,39,5,8,41,16,11,23,45
14,5,24,29,187,21,24,16,11,10,12,13,26,10,9,37,17,13,22,36
61,2,134,139,10,66,82,26,5,20,77,78,101,33,74,212,82,100,146,48
9,4,18,23,17,15,8,7,8,4,6,13,29,4,6,20,13,8,9,30
15,7,18,28,12,15,15,15,11,12,8,12,17,10,2,12,17,8,16,34
9,5,19,31,8,19,11,5,4,3,3,8,25,7,6,6,9,5,7,28
11,6,17,19,7,19,13,4,4,5,3,6,23,8,1,6,21,8,8,32
15,2,22,15,4,18,14,4,8,7,8,17,19,7,11,13,26,14,7,22
20,4,30,6,4,9,10,4,10,6,11,24,11,8,9,8,25,11,1,15
21,12,33,21,15,15,17,10,12,10,13,14,16,18,18,15,24,25,11,19
22,8,28,23,18,19,17,5,9,9,13,8,23,21,28,39,19,26,11,29
5,1,13,24,7,29,15,1,1,1,1,1,31,6,4,9,25,19,13,61
6,2,10,20,4,10,6,4,3,3,1,4,12,7,3,4,6,5,9,31
7,5,10,19,5,24,16,2,3,1,1,2,23,6,4,8,3,2,4,35
12,6,37,71,35,33,12,11,10,12,8,10,59,14,7,60,29,12,13,64
17,14,22,15,18,28,19,17,10,11,20,13,29,6,10,28,10,13,14,27
6,0,6,8,15,11,8,6,5,5,8,7,20,8,9,14,13,3,10,12
11,5,7,14,15,17,18,10,6,6,10,14,33,6,9,32,17,2,24,30
13,6,3,13,18,17,14,12,11,10,12,19,28,11,12,36,14,25,21,15
9,8,18,15,23,17,11,8,4,6,9,9,15,6,9,12,16,9,11,10
12,14,11,11,9,6,10,8,8,10,9,11,13,10,10,13,16,13,5,11
15,20,24,14,15,15,23,17,18,20,19,16,18,21,18,25,16,18,18,21
24,25,23,14,16,20,5,24,15,24,23,21,26,19,23,29,20,20,16,32
20,14,22,17,15,19,21,14,10,12,11,16,24,19,13,21,17,14,11,42
19,14,22,26,12,22,22,12,8,15,12,14,29,20,17,27,18,9,16,38
8,3,15,15,5,14,9,5,3,3,4,3,15,12,6,30,19,4,18,26
30,13,53,36,40,23,21,13,12,13,11,11,43,13,25,41,28,41,17,51
27,13,32,24,32,23,20,9,12,10,11,17,34,20,26,8,26,33,20,44
7,7,8,12,5,18,14,5,5,4,3,5,16,10,8,11,10,11,6,21
19,26,26,22,19,23,14,23,16,11,6,14,23,23,15,19,15,19,15,33
8,7,8,12,7,11,24,7,7,7,7,7,21,13,15,20,14,12,9,27
7,3,8,11,4,12,13,4,2,4,5,4,20,13,8,15,4,6,8,24
5,11,10,12,16,20,12,7,6,6,7,9,20,9,10,15,9,7,8,23
10,9,15,8,12,7,10,11,9,9,11,8,21,10,8,21,8,7,3,29
5,5,7,5,7,10,10,5,4,3,3,4,8,4,4,9,6,4,6,16
1,1,12,2,2,5,8,3,2,2,2,3,12,4,1,6,14,4,7,12
3,2,16,7,10,21,11,7,7,3,4,5,15,5,5,20,17,5,6,7
8,21,7,95,45,49,53,4,0,12,2,1,7,2,46,63,66,35,12,11
12,64,38,106,71,76,82,14,0,34,8,4,28,10,108,132,114,79,73,60
7,39,37,111,58,72,109,2,0,13,4,2,34,18,147,167,163,134,104,60
6,15,19,51,10,36,55,3,20,7,2,2,16,8,47,86,80,68,39,17
11,14,22,35,19,36,34,5,18,12,5,3,17,5,31,47,38,32,12,6
15,32,44,58,34,46,55,7,38,18,11,5,31,10,49,73,44,46,12,8
32,41,32,60,43,60,66,11,0,26,15,4,42,17,69,99,53,58,26,30
18,22,13,32,29,36,56,8,17,18,4,2,9,10,41,62,64,45,22,23
27,31,11,73,29,73,56,4,25,14,2,3,4,21,66,101,91,53,39,25
28,24,22,41,37,44,48,20,38,19,12,6,16,28,54,53,60,35,35,24
19,29,22,64,57,85,186,10,34,11,6,5,8,11,63,68,73,47,28,19
19,26,15,34,32,41,37,6,37,16,14,9,12,17,40,46,42,31,25,22
35,47,20,88,19,52,64,8,0,35,12,5,21,34,84,112,84,67,33,44
34,21,24,32,24,31,26,12,36,20,12,6,13,21,36,46,41,33,24,28
17,13,15,19,11,17,15,7,14,9,9,4,6,9,22,23,23,32,14,11
12,8,13,14,12,15,13,6,12,10,9,5,10,5,12,12,8,11,8,9
51,83,19,92,91,102,130,40,0,29,24,16,18,55,103,128,102,70,40,31
19,25,14,32,31,37,53,24,25,18,18,8,7,21,44,47,46,31,33,17
18,17,10,22,19,22,32,21,17,14,13,8,9,20,47,52,32,40,23,10
28,21,13,25,25,25,34,19,30,15,14,8,13,19,55,83,50,37,30,26
19,10,11,17,18,19,15,14,20,17,21,10,25,18,29,51,49,40,33,23
37,18,16,16,26,15,35,18,17,13,18,6,14,16,46,58,44,35,36,21
24,15,16,0,21,23,32,15,18,11,17,13,12,18,35,41,38,31,24,17
34,21,15,81,85,43,34,16,0,13,19,15,16,33,35,47,126,21,33,50
53,74,43,198,144,113,90,40,0,49,53,39,60,82,149,131,209,71,95,127
45,77,33,90,212,136,132,43,0,33,46,31,66,105,182,187,151,45,97,65
27,29,20,37,69,43,35,22,40,20,18,18,28,41,109,99,124,21,37,46
19,26,13,32,82,59,52,26,41,18,15,12,16,36,118,134,205,22,37,77
18,23,15,26,52,44,31,19,35,21,19,14,35,33,70,80,98,21,35,47
