"station","utmx","utmy","forest"
470,470925,4741551.5,0.6368544025
475,503389,4741374,0.4004128455
476,506511.5,4740430.5,0.3963650845
477,408472,4748741,0.329382985
478,412034.5,4748943.5,0.377744848
479,467283.5,4745755,0.266019299
480,472728,4743713,0.714197476
484,359241.5,4771680.5,0.108217658
485,405594.5,4750758.5,0.5303332235
486,409766,4752124.5,0.4417317415
487,355302,4775541.5,0.173666408
488,359399,4775661.5,0.2039299255
489,363235.5,4775720.5,0.07966949
490,455852.5,4775567.5,0.165863525
491,460126,4774833.5,0.3276385005
492,462913,4775344.5,0.3134997485
496,324715.5,4779464,0.265271325
497,455598.5,4756970,0.2769506525
498,332227,4779068.5,0.3733386575
499,355483.5,4779660,0.2739517375
500,359474,4779342,0.2480654815
501,442716.5,4780526,0.2733593535
502,447359,4778640,0.2389150325
503,458899.5,4779205.5,0.250722133
504,463380.5,4779423.5,0.3519228475
505,467371,4779408.5,0.4435409895
509,324265.5,4782818.5,0.308739848
510,444779,4759874.5,0.3123656035
511,332720.5,4782903,0.2779239275
513,452700,4760140.5,0.219594832
514,457070,4758638,0.2344363345
515,444305.5,4784861.5,0.2420739025
516,448548.5,4782591,0.2845741305
517,455705,4762571.5,0.2426438065
518,340829.5,4775583,0.1581263365
519,321090.5,4787055,0.2408022475
520,324039.5,4786974,0.240716945
521,335995,4779509.5,0.3774575435
522,339938.5,4779232.5,0.3380115055
525,363020.5,4787099,0.3550115745
526,468312,4788231.5,0.355726574
527,355316,4791201.5,0.5590313935
528,358661,4791936,0.4367894705
529,362875.5,4791083,0.47945678
530,429429.5,4790197,0.531532114
531,431545.5,4789568.5,0.5312146065
532,436858.5,4791079,0.6020512995
534,470784.5,4790249,0.5611111275
535,474765.5,4790911,0.6372321545
536,359250.5,4794590,0.4047412765
537,362956,4795069.5,0.4823690935
538,428505,4793321,0.574819908
539,433860.5,4795949,0.600687839
540,438030,4794857.5,0.600243319
541,444261.5,4794254,0.5840727655
542,475845.5,4793353,0.5601441185
543,479956.5,4794253,0.3923791865
544,410703,4799247,0.409135247
546,417275.5,4798896.5,0.471807908
547,420997,4799396,0.5784126005
548,440814.5,4799240,0.4432506665
549,445716.5,4800122.5,0.66300955
550,448367,4799950,0.673200934
551,467583.5,4798183,0.464522789
552,470850,4800842.5,0.6358247015
553,474764,4799269.5,0.650470146
554,478005.5,4798377,0.592375528
555,409698,4802767,0.478469982
556,413643,4803070,0.576228785
557,416730,4803718,0.516817068
558,440217,4803256.5,0.767685469
559,444655.5,4802317,0.709613971
560,447553,4804311.5,0.696905825
561,452354.5,4802731.5,0.554947978
562,458177,4804390,0.6121888275
563,464156,4804629,0.6868489265
564,466307,4804614,0.670022716
565,470713,4802873,0.732033383
566,412911,4806251,0.495757863
567,424477,4808069,0.6112294225
568,430775,4808332,0.687408768
569,434092,4808335.5,0.6835128345
570,439777.5,4806183,0.8162499505
571,446619,4804694,0.737044919
572,464630,4808061,0.6092554845
573,466750,4806968,0.6087180325
574,471417,4808536,0.706464539
575,475591,4806087,0.741827093
576,426517,4808800,0.5169302315
577,427119,4811845,0.5626285845
578,434060,4812082,0.716790056
579,467165,4810682,0.553553381
580,472135,4811909,0.4661444065
581,426254,4814454,0.609995359
582,429718,4814110,0.790887299
583,434166,4814513,0.695944886
